MH_05,LM_30,LM_40,BH_35A,BH_35B,BH_35E,BH_40A,BH_40B,BH_40C,BH_40D,BH_40E,BH_40F,BH_40G,BH_40H,AGEGRP,SEX,PCHILD,MARSTATC,DWELCODC,PEDUC_LC,PTELEWSC,PEMPSTC,PFSCDV,PERS_WGT
2,2,4,1,4,2,1,1,3,3,3,1,1,3,3,1,0,1,4,6,1,1,0,13754.6539
3,2,3,1,3,3,2,2,2,1,1,1,3,1,7,1,0,1,1,6,2,1,1,10179.0889
1,4,3,1,4,4,3,3,3,1,3,1,3,3,4,1,1,2,1,2,3,1,0,6066.5992
4,6,4,1,4,4,3,3,3,1,1,1,3,3,5,2,0,3,1,2,9,4,0,2016.8186
3,6,4,3,4,4,3,9,9,9,3,3,9,9,6,2,0,1,1,5,9,4,0,4196.3256
2,6,4,9,9,9,9,9,9,9,3,1,9,9,7,2,0,1,1,2,9,4,9,5084.1487
4,2,3,1,4,4,1,3,3,1,1,1,3,3,6,1,0,3,3,4,1,1,0,9023.3704
2,2,5,3,4,4,3,3,3,3,3,3,3,3,4,1,0,4,1,4,3,1,0,1234.0945
3,6,4,3,4,4,3,3,3,3,1,1,3,3,6,2,0,3,1,3,9,4,0,2327.2881
3,6,4,1,4,4,3,3,3,3,3,3,3,3,4,1,0,1,1,6,9,4,0,13923.3527
3,4,4,3,4,3,2,3,3,1,1,3,3,3,2,1,0,1,3,6,2,1,0,7409.0584
3,1,2,1,4,4,3,9,9,3,1,1,9,9,6,2,0,3,3,6,2,1,0,423.7607
1,3,4,1,2,4,3,3,3,3,3,3,3,3,4,2,0,4,2,2,3,1,1,4044.945
2,6,4,3,3,4,3,3,3,3,1,1,1,3,6,1,0,1,1,2,9,4,0,5828.8562
2,6,4,3,9,3,3,3,3,3,3,3,3,3,7,1,0,1,1,6,9,4,0,3218.7384
1,5,4,1,4,4,3,3,3,3,3,3,3,3,2,2,0,2,1,7,1,1,0,2876.2277
2,6,4,3,4,3,3,3,3,1,1,1,3,3,5,2,0,4,4,6,9,4,0,1027.5145
4,5,5,1,4,1,1,1,2,1,2,3,3,3,4,2,0,2,1,6,1,1,0,4146.8112
2,6,4,3,3,4,3,3,3,3,3,3,3,3,5,2,0,1,4,4,9,4,9,8028.3582
5,5,3,1,4,4,3,3,3,1,3,3,3,3,2,2,1,1,1,6,4,2,0,10934.5138
3,6,9,9,9,9,9,9,9,9,3,1,9,9,7,1,0,1,1,4,9,4,0,1110.5954
2,6,5,1,4,4,3,3,3,1,1,1,1,3,1,2,1,4,4,1,9,4,0,3367.6023
1,6,4,3,4,4,1,3,3,3,1,1,1,3,6,1,0,1,1,7,9,4,0,1625.4686
3,6,2,3,1,4,3,3,3,3,3,1,3,3,6,1,1,1,4,2,9,4,0,37680.265
3,6,4,1,4,2,3,3,3,2,3,3,3,3,7,1,0,3,1,1,9,4,0,3008.4705
3,5,4,1,4,4,2,3,3,2,1,1,1,3,2,2,0,2,4,6,4,3,0,1992.5729
2,3,3,4,4,4,3,3,3,3,3,3,3,3,4,1,1,1,4,6,3,1,0,27445.1843
3,3,2,1,4,1,1,3,3,1,1,1,3,3,4,2,1,1,3,6,2,1,0,15655.7625
4,6,2,1,4,4,3,3,3,1,1,3,3,3,2,1,0,2,4,3,9,4,0,4758.909
1,6,4,4,4,4,3,3,3,3,3,3,3,3,7,2,0,1,1,1,9,4,0,22829.2596
2,6,4,1,4,4,3,3,3,3,3,3,3,3,6,2,0,4,1,7,9,4,0,1828.9682
1,5,4,4,4,4,1,3,3,3,3,3,3,3,4,1,1,1,1,6,3,1,0,2159.0671
1,3,4,3,3,4,3,3,3,2,1,1,3,3,4,1,1,1,3,6,3,1,0,11990.9528
4,6,1,1,4,4,1,3,3,2,1,1,1,3,1,1,0,4,4,2,9,4,0,13753.0844
2,4,3,3,4,4,3,3,3,3,1,1,3,3,3,2,0,4,1,4,3,1,0,2299.8892
2,6,4,1,4,9,3,3,3,1,1,1,3,3,6,2,0,1,1,4,9,4,0,2230.0295
2,5,5,1,4,4,2,3,3,3,3,1,3,3,5,2,0,1,1,2,3,1,0,4953.9386
4,4,4,1,4,2,3,3,3,3,1,1,3,1,2,2,1,1,1,7,1,1,0,2974.341
4,5,4,3,4,4,3,3,3,3,1,1,3,3,4,2,0,1,1,6,3,1,0,766.6953
1,4,3,1,4,4,3,3,3,3,1,3,3,3,4,2,1,3,1,4,3,1,0,9526.3676
2,5,4,3,4,3,3,3,3,1,3,2,2,1,3,2,1,1,1,4,3,1,0,2547.4028
1,6,4,4,4,4,3,3,3,3,1,1,3,3,6,1,0,3,3,4,9,4,0,517.9883
2,6,4,3,4,4,3,3,3,3,1,3,3,3,7,1,0,1,1,6,9,4,0,10358.8937
2,6,4,1,4,4,3,3,3,3,3,3,3,3,6,2,0,4,1,7,9,4,0,879.6634
1,6,4,1,4,4,3,3,3,3,1,1,3,1,6,2,0,1,1,4,9,4,0,5813.974
4,6,3,1,1,4,3,3,3,1,1,1,1,3,1,2,1,4,1,2,9,4,0,10014.6591
2,4,2,3,4,2,1,3,3,2,2,1,3,1,5,1,1,1,1,7,1,1,0,6854.3624
1,6,4,1,4,3,3,3,3,3,3,1,3,3,7,2,0,4,4,7,9,4,9,1975.5939
2,5,4,1,4,4,3,3,3,3,3,3,3,3,4,2,1,2,1,6,1,1,0,2172.5197
3,6,5,3,9,4,3,3,3,1,1,1,3,3,6,1,0,1,1,3,9,4,0,9585.9795
1,6,4,1,4,3,2,3,3,3,1,1,1,3,6,1,0,1,4,6,9,4,0,2776.0767
2,3,5,3,4,4,3,3,3,3,3,1,3,3,5,2,0,3,1,4,4,3,0,1027.5145
4,6,5,1,4,4,3,3,3,1,1,1,3,3,6,1,0,2,1,6,9,4,0,1399.369
3,5,4,4,4,4,3,3,3,3,3,3,3,3,4,1,0,4,2,4,3,1,0,10121.4401
3,6,2,1,4,4,3,3,3,1,1,1,3,1,5,1,0,1,1,2,9,4,0,7738.8228
3,5,5,4,4,2,3,3,3,2,1,1,3,3,4,1,0,3,1,3,3,1,0,6407.6393
4,5,4,3,4,3,3,3,3,1,1,1,3,3,4,1,1,1,1,7,1,1,0,2027.1795
3,3,2,3,4,4,3,3,3,3,2,1,3,1,4,2,0,1,1,6,1,1,0,1200.1184
2,6,3,3,3,3,2,3,3,2,1,1,3,3,6,2,0,1,3,7,9,4,0,9753.5718
